sample_id,food_type,adulterant,adulteration_level,is_adulterated
1,Wheat,Urea,2.9,False
2,Wheat,Jaggery Syrup,4.17,True
3,Wheat,Chalk Powder,1.91,True
4,Honey,Sugar Syrup,1.51,True
5,Wheat,Starch,3.13,True
6,Honey,Detergent,3.35,True
7,Honey,Water,2.39,True
8,Milk,Unknown,0.5,True
9,Turmeric,Water,0.27,True
10,Honey,Unknown,1.94,True
11,Chili Powder,Soapstone,2.2,True
12,Wheat,Detergent,0.54,True
13,Honey,Starch,3.14,False
14,Wheat,Unknown,0.71,True
15,Wheat,Unknown,4.61,True
16,Wheat,Chalk Powder,4.54,True
17,Milk,Detergent,4.11,False
18,Turmeric,None,3.22,True
19,Wheat,None,3.91,True
20,Wheat,Unknown,2.54,True
21,Turmeric,Unknown,2.34,True
22,Wheat,Unknown,1.83,True
23,Milk,Sugar Syrup,2.96,True
24,Chili Powder,Salt Powder,1.64,True
25,Milk,Chalk Powder,1.26,False
26,Milk,Sugar Syrup,0.91,False
27,Chili Powder,None,2.51,True
28,Honey,Metanil Yellow,4.36,True
29,Chili Powder,Sugar Syrup,1.91,True
30,Turmeric,Soapstone,0.86,True
31,Chili Powder,Metanil Yellow,1.16,False
32,Honey,Jaggery Syrup,1.63,True
33,Wheat,Sugar Syrup,2.97,True
34,Milk,Unknown,0.68,True
35,Wheat,Sugar Syrup,4.2,True
36,Milk,Urea,0.1,False
37,Turmeric,Detergent,0.6,True
38,Turmeric,Unknown,2.33,True
39,Turmeric,Detergent,3.68,True
40,Milk,Metanil Yellow,0.37,False
41,Milk,Soapstone,3.72,True
42,Turmeric,Detergent,3.87,True
43,Chili Powder,Metanil Yellow,3.56,True
44,Turmeric,Water,2.69,True
45,Honey,Jaggery Syrup,1.04,True
46,Turmeric,Detergent,2.4,True
47,Turmeric,Brick Powder,2.83,True
48,Milk,Detergent,4.08,True
49,Turmeric,Sugar Syrup,1.91,True
50,Honey,Starch,3.29,True
51,Chili Powder,Detergent,4.02,True
52,Milk,Chalk Powder,0.1,False
53,Chili Powder,Starch,3.6,True
54,Wheat,Chalk Powder,4.99,True
55,Honey,Detergent,4.22,True
56,Honey,Starch,2.99,True
