sample_id,food_type,adulterant,adulteration_level,is_adulterated
1,Wheat,Soapstone,0.15,True
2,Chili Powder,None,0.09,False
3,Honey,None,0.1,False
4,Wheat,Soapstone,0.77,True
5,Chili Powder,None,0.15,False
6,Wheat,None,0.12,False
7,Milk,Water,4.16,True
8,Wheat,Chalk Powder,3.22,True
9,Chili Powder,Brick Powder,3.78,True
10,Wheat,Chalk Powder,2.4,True
11,Turmeric,None,0.19,False
12,Chili Powder,Salt Powder,1.08,True
13,Chili Powder,None,0.04,False
14,Wheat,Chalk Powder,1.41,True
15,Honey,None,0.04,False
16,Turmeric,Chalk Powder,2.83,True
17,Honey,None,0.19,False
18,Wheat,Soapstone,0.27,True
19,Honey,Sugar Syrup,0.17,True
20,Turmeric,Chalk Powder,2.14,True
21,Turmeric,Chalk Powder,3.61,True
22,Milk,Urea,2.17,True
23,Chili Powder,None,0.18,False
24,Wheat,None,0.02,False
25,Chili Powder,None,0.14,False
26,Honey,Jaggery Syrup,4.32,True
27,Wheat,Chalk Powder,1.6,True
28,Chili Powder,Salt Powder,3.23,True
29,Milk,Detergent,3.4,True
30,Wheat,Chalk Powder,4.96,True
31,Honey,None,0.06,False
32,Milk,Detergent,2.18,True
33,Chili Powder,None,0.17,False
34,Chili Powder,Salt Powder,2.85,True
35,Wheat,Chalk Powder,4.69,True
36,Milk,None,0.03,False
37,Wheat,Soapstone,2.34,True
38,Honey,Sugar Syrup,2.42,True
39,Honey,Sugar Syrup,2.57,True
40,Honey,None,0.15,False
41,Honey,Jaggery Syrup,2.05,True
42,Milk,Urea,0.49,True
43,Turmeric,Metanil Yellow,3.83,True
44,Milk,Water,2.24,True
45,Wheat,Chalk Powder,0.21,True
46,Turmeric,Metanil Yellow,0.71,True
47,Honey,None,0.03,False
48,Wheat,None,0.06,False
49,Wheat,None,0.03,False
50,Turmeric,Chalk Powder,2.25,True
51,Wheat,Chalk Powder,4.49,True
52,Wheat,None,0.09,False
53,Honey,None,0.06,False
54,Milk,Starch,0.37,True
55,Wheat,Soapstone,1.72,True
56,Milk,None,0.04,False
57,Milk,Detergent,4.52,True
58,Milk,Water,0.43,True
59,Chili Powder,Brick Powder,0.34,True
60,Milk,Detergent,4.83,True
61,Wheat,Chalk Powder,2.34,True
62,Milk,None,0.06,False
